,Price,Area,Location,No. of Bedrooms,City
15760,6390000,1065,Mogappair,2,Chennai
15762,75000000,2923,other,4,Chennai
15767,3615000,1033,Guduvancheri,2,Chennai
15768,4900000,670,Perungudi,1,Chennai
15770,24500000,1818,Thiruvanmiyur,3,Chennai
15771,22500000,1667,Thiruvanmiyur,3,Chennai
15772,21000000,2451,Navallur,4,Chennai
15773,26500000,1651,Egmore,3,Chennai
15774,40000000,6000,Navallur,4,Chennai
15777,26000000,1631,Egmore,3,Chennai
15780,3822000,910,Perumbakkam,1,Chennai
15783,26500000,1636,Egmore,3,Chennai
15786,6480000,1080,Mogappair,2,Chennai
15787,6390000,1065,Mogappair,2,Chennai
15789,75000000,2923,other,4,Chennai
15793,6390000,1065,Mogappair,2,Chennai
15794,6480000,1080,Mogappair,2,Chennai
15797,6480000,1080,Mogappair,2,Chennai
15798,11000000,1695,Navallur,3,Chennai
15799,13899999,2150,Navallur,3,Chennai
15800,15700000,2580,Mogappair,4,Chennai
15802,6509999,1085,Mogappair,2,Chennai
15806,3615000,1033,Guduvancheri,2,Chennai
15807,4900000,670,Perungudi,1,Chennai
15809,24500000,1818,Thiruvanmiyur,3,Chennai
15810,22500000,1667,Thiruvanmiyur,3,Chennai
15811,21000000,2451,Navallur,4,Chennai
15812,26500000,1651,Egmore,3,Chennai
15813,40000000,6000,Navallur,4,Chennai
15816,26000000,1631,Egmore,3,Chennai
15819,3822000,910,Perumbakkam,1,Chennai
15822,26500000,1636,Egmore,3,Chennai
15826,7751000,1546,Perumbakkam,4,Chennai
15829,15700000,2580,Mogappair,4,Chennai
15830,25600000,2052,other,4,Chennai
15833,3615000,1033,Guduvancheri,2,Chennai
15834,4900000,670,Perungudi,1,Chennai
15836,24500000,1818,Thiruvanmiyur,3,Chennai
15837,22500000,1667,Thiruvanmiyur,3,Chennai
15838,21000000,2451,Navallur,4,Chennai
15839,26500000,1651,Egmore,3,Chennai
15840,40000000,6000,Navallur,4,Chennai
15843,26000000,1631,Egmore,3,Chennai
