,Price,Area,Location,No. of Bedrooms,City
24949,6700000,1402,Puppalaguda,1,Hyderabad
24950,6700000,1401,Puppalaguda,1,Hyderabad
24951,12700000,1925,Miyapur,3,Hyderabad
24952,4600000,1050,Gajularamaram,2,Hyderabad
24954,3800000,1008,Bachupally,2,Hyderabad
24955,3500000,1080,Beeramguda,2,Hyderabad
24956,3500000,1080,Beeramguda,2,Hyderabad
24957,6895999,1230,Kukatpally,2,Hyderabad
24958,4600000,1050,Gajularamaram,2,Hyderabad
24959,12700000,1925,Miyapur,3,Hyderabad
24963,45000000,3233,Hitech City,4,Hyderabad
24964,8200000,1350,Manikonda,3,Hyderabad
24965,14000000,1188,Sanath Nagar,2,Hyderabad
24966,6200000,1199,Tellapur,2,Hyderabad
24967,8600000,1538,Gachibowli,3,Hyderabad
24968,11399999,1730,Kukatpally,3,Hyderabad
24969,3600000,1080,Beeramguda,2,Hyderabad
24970,3600000,1080,Beeramguda,2,Hyderabad
24971,3300000,1045,Krishna Reddy Pet,2,Hyderabad
24972,3300000,1035,Krishna Reddy Pet,2,Hyderabad
24973,3300000,1025,Krishna Reddy Pet,2,Hyderabad
24974,8500000,1525,Kondapur,2,Hyderabad
24975,3500000,1080,Beeramguda,2,Hyderabad
24976,8070000,1115,Miyapur,2,Hyderabad
24977,7317000,1090,Kukatpally,2,Hyderabad
24978,45000000,3233,Hitech City,4,Hyderabad
24979,3500000,1080,Beeramguda,2,Hyderabad
24985,8200000,1350,Manikonda,3,Hyderabad
24987,7800000,1530,Manikonda,2,Hyderabad
24988,14600000,1953,Gachibowli,2,Hyderabad
24990,9800000,1580,Puppalaguda,3,Hyderabad
24992,10000000,1935,Aminpur,3,Hyderabad
24993,9906000,1905,Aminpur,3,Hyderabad
24995,7098999,1090,other,1,Hyderabad
24996,5909000,1555,Gajularamaram,2,Hyderabad
24997,7843000,1265,Aminpur,2,Hyderabad
24998,8100000,1490,Narsingi,3,Hyderabad
24999,7581999,1115,Miyapur,2,Hyderabad
25001,9000000,1390,Appa Junction,2,Hyderabad
25009,6895999,1230,Kukatpally,2,Hyderabad
25011,3200000,1200,Attapur,3,Hyderabad
25012,10000000,2000,Puppalaguda,3,Hyderabad
25014,2700000,682,other,1,Hyderabad
25015,7498999,1245,Tarnaka,2,Hyderabad
25018,9000000,1390,Appa Junction,2,Hyderabad
25019,8000000,1282,Appa Junction,2,Hyderabad
25020,8000000,1282,Darga Khaliz Khan,2,Hyderabad
25021,8000000,1282,Appa Junction,2,Hyderabad
25022,9000000,1390,Appa Junction,2,Hyderabad
25023,8000000,1282,Darga Khaliz Khan,2,Hyderabad
25024,8000000,1282,Darga Khaliz Khan,2,Hyderabad
25025,8000000,1282,Appa Junction,2,Hyderabad
25026,7100000,1214,Appa Junction,2,Hyderabad
25027,9000000,1390,Appa Junction,2,Hyderabad
25028,8000000,1392,Darga Khaliz Khan,2,Hyderabad
25029,8000000,1392,Appa Junction,2,Hyderabad
25030,9000000,1390,Appa Junction,2,Hyderabad
25031,7998999,1282,Darga Khaliz Khan,2,Hyderabad
25033,4800000,905,LB Nagar,2,Hyderabad
25034,11399999,1730,Kukatpally,3,Hyderabad
25035,12600000,1925,Miyapur,3,Hyderabad
25036,12600000,1925,Miyapur,3,Hyderabad
25037,12600000,1925,Miyapur,3,Hyderabad
25038,9075000,1265,Miyapur,2,Hyderabad
25040,4500000,1050,Gajularamaram,2,Hyderabad
25041,9400000,1430,Appa Junction,2,Hyderabad
25042,9400000,1430,Appa Junction,2,Hyderabad
25043,9400000,1430,Appa Junction,2,Hyderabad
25044,9400000,1430,Appa Junction,2,Hyderabad
25045,8798000,1385,Appa Junction,2,Hyderabad
25058,6000000,1100,Manikonda,2,Hyderabad
25059,21700000,3266,East Marredpally,3,Hyderabad
25060,5200000,1200,Manikonda,2,Hyderabad
25063,3375000,1125,Mallampet,1,Hyderabad
25064,3315000,1100,Mallampet,1,Hyderabad
25065,4600000,1050,Gajularamaram,2,Hyderabad
25066,3500000,1080,Beeramguda,2,Hyderabad
25067,7317000,1090,Kukatpally,2,Hyderabad
25069,11000000,1510,Begumpet,3,Hyderabad
25071,26100000,3147,Hitech City,4,Hyderabad
25072,25600000,3090,Hitech City,4,Hyderabad
25073,25200000,3044,Hitech City,4,Hyderabad
25074,17000000,2051,Hitech City,3,Hyderabad
25075,29000000,3498,Hitech City,4,Hyderabad
25076,25700000,3101,Hitech City,4,Hyderabad
25077,25299999,3049,Hitech City,4,Hyderabad
25078,14400000,1738,Hitech City,3,Hyderabad
25079,11200000,1355,Hitech City,2,Hyderabad
25080,11000000,1334,Hitech City,2,Hyderabad
25081,11100000,1346,Hitech City,2,Hyderabad
25082,11000000,1327,Hitech City,2,Hyderabad
25084,9942000,1473,Kondapur,2,Hyderabad
25085,17500000,2607,Kondapur,3,Hyderabad
25086,18900000,2800,Kondapur,3,Hyderabad
25087,14700000,2192,Kondapur,3,Hyderabad
25088,19000000,2815,Kondapur,3,Hyderabad
25089,16500000,2452,Kondapur,3,Hyderabad
25090,14700000,2191,Kondapur,3,Hyderabad
25091,18900000,2813,Kondapur,3,Hyderabad
25092,8707000,1290,Kondapur,2,Hyderabad
25093,8775000,1300,Kondapur,2,Hyderabad
25094,9234000,1368,Kondapur,2,Hyderabad
25097,23000000,2049,Hitech City,4,Hyderabad
25098,29000000,3494,Hitech City,4,Hyderabad
25099,11000000,1336,Hitech City,2,Hyderabad
25100,12400000,1850,Kondapur,3,Hyderabad
25101,10100000,1500,Kondapur,2,Hyderabad
25102,7500000,1620,Puppalaguda,3,Hyderabad
25103,6200000,1200,Begumpet,2,Hyderabad
25104,17500000,2700,Banjara Hills,3,Hyderabad
25105,29000000,3600,Kondapur,4,Hyderabad
25107,6956999,1265,Sanath Nagar,2,Hyderabad
25108,6676000,1260,Nallagandla Gachibowli,2,Hyderabad
25111,7600000,1520,Balanagar,3,Hyderabad
25112,8275000,1655,Balanagar,3,Hyderabad
25113,8325000,1665,Balanagar,3,Hyderabad
25114,9126000,1755,Balanagar,3,Hyderabad
25115,8825000,1765,Balanagar,3,Hyderabad
25116,10000000,1940,Balanagar,3,Hyderabad
25117,7243000,1260,Nallagandla Gachibowli,2,Hyderabad
25118,11000000,1695,Nallagandla Gachibowli,3,Hyderabad
25119,10600000,1860,Nallagandla Gachibowli,3,Hyderabad
25120,5514000,1313,Manikonda,2,Hyderabad
25121,5275000,1256,Manikonda,2,Hyderabad
25122,4830000,1150,Manikonda,2,Hyderabad
25123,12000000,1495,Sanath Nagar,3,Hyderabad
25124,12000000,1500,Sanath Nagar,3,Hyderabad
25125,13500000,1685,Sanath Nagar,3,Hyderabad
25126,10400000,1895,Sanath Nagar,3,Hyderabad
25127,14200000,1780,Sanath Nagar,3,Hyderabad
25128,14300000,1785,Sanath Nagar,3,Hyderabad
25129,6323000,1265,Nallagandla Gachibowli,2,Hyderabad
25130,6348000,1270,Nallagandla Gachibowli,2,Hyderabad
25131,7553000,1511,Nallagandla Gachibowli,2,Hyderabad
25134,7272000,1265,Nallagandla Gachibowli,2,Hyderabad
25135,7150000,1430,Balanagar,3,Hyderabad
25136,8050000,1610,Balanagar,3,Hyderabad
25137,6600000,1320,Balanagar,3,Hyderabad
25138,7175000,1435,Balanagar,3,Hyderabad
25139,7550000,1510,Balanagar,3,Hyderabad
25140,7301000,1270,Nallagandla Gachibowli,2,Hyderabad
25141,8686000,1511,Nallagandla Gachibowli,2,Hyderabad
25142,7301000,1270,Nallagandla Gachibowli,3,Hyderabad
25143,9571000,1665,Nallagandla Gachibowli,3,Hyderabad
25144,5376000,1280,Manikonda,2,Hyderabad
25145,5367000,1278,Manikonda,2,Hyderabad
25146,5166000,1230,Manikonda,2,Hyderabad
25149,4993000,1189,Manikonda,2,Hyderabad
25150,5077000,1209,Manikonda,2,Hyderabad
25151,5371000,1279,Manikonda,2,Hyderabad
25152,5506000,1311,Manikonda,2,Hyderabad
25174,10200000,1655,Narsingi,3,Hyderabad
25175,4284000,1020,Attapur,2,Hyderabad
25178,12500000,2250,Manikonda,3,Hyderabad
25180,12600000,1990,Shaikpet,3,Hyderabad
25183,2200000,550,other,1,Hyderabad
25184,2200000,550,other,1,Hyderabad
25185,5500000,1260,Nizampet,2,Hyderabad
25186,3700000,1105,Nizampet,2,Hyderabad
25187,3700000,1105,Nizampet,2,Hyderabad
25188,14500000,2080,Shaikpet,3,Hyderabad
25190,17000000,2260,Hitech City,3,Hyderabad
25191,15000000,2015,Hitech City,3,Hyderabad
25192,15000000,2015,Hitech City,3,Hyderabad
25193,12000000,1700,Narsingi,3,Hyderabad
25194,9300000,1265,Sanath Nagar,2,Hyderabad
25195,45000000,4650,Manikonda,4,Hyderabad
25196,13700000,1742,Gachibowli,3,Hyderabad
25198,3700000,1110,Beeramguda,2,Hyderabad
25199,4300000,1110,Beeramguda,2,Hyderabad
25203,11299999,2026,TellapurOsman Nagar Road,3,Hyderabad
25205,8200000,1650,Serilingampally,3,Hyderabad
25206,10500000,1880,TellapurOsman Nagar Road,3,Hyderabad
25207,8200000,1216,Kukatpally,2,Hyderabad
25208,11500000,2026,Tellapur,3,Hyderabad
25210,15000000,2015,Hitech City,3,Hyderabad
25211,19000000,2500,Hitech City,3,Hyderabad
25213,16900000,1895,Sanath Nagar,3,Hyderabad
25214,14900000,1500,Sanath Nagar,3,Hyderabad
25215,26900000,2595,Madhapur,4,Hyderabad
25216,23000000,2250,Kondapur,3,Hyderabad
25218,17600000,1880,Kondapur,3,Hyderabad
25219,9500000,1620,Gajularamaram,3,Hyderabad
25220,9499000,1620,Gajularamaram,3,Hyderabad
25221,23000000,2250,Kondapur,3,Hyderabad
25223,9728000,1390,Kokapet,3,Hyderabad
25224,6623000,1255,Bandlaguda Jagir,2,Hyderabad
25225,12300000,2285,Bandlaguda Jagir,3,Hyderabad
25226,17600000,1993,Gachibowli,3,Hyderabad
25227,12300000,2282,Bandlaguda Jagir,3,Hyderabad
25228,9254000,1384,Narsingi,3,Hyderabad
25229,10500000,1880,TellapurOsman Nagar Road,3,Hyderabad
25230,11100000,1874,Tellapur,3,Hyderabad
25234,35000000,4160,Shaikpet,4,Hyderabad
25237,9000000,1360,Kukatpally,2,Hyderabad
25240,23000000,3044,Hitech City,4,Hyderabad
25242,23600000,3147,Hitech City,4,Hyderabad
25245,8800000,1560,LB Nagar,3,Hyderabad
25246,10200000,1880,TellapurOsman Nagar Road,3,Hyderabad
25247,9278000,1687,Tellapur,3,Hyderabad
25249,6800000,1257,Manikonda,2,Hyderabad
25250,11100000,2225,Narsingi,3,Hyderabad
25251,10800000,2170,Narsingi,3,Hyderabad
25252,7125000,1425,Narsingi,2,Hyderabad
25253,10100000,2025,Narsingi,3,Hyderabad
25260,12600000,1945,Kokapet,3,Hyderabad
25261,12600000,1945,Kokapet,3,Hyderabad
25262,12600000,1945,Kokapet,3,Hyderabad
25263,10900000,1680,Kokapet,3,Hyderabad
25264,10900000,1680,Kokapet,3,Hyderabad
25265,8255000,1270,Kokapet,2,Hyderabad
25266,8255000,1270,Kokapet,2,Hyderabad
25267,8255000,1270,Kokapet,2,Hyderabad
25268,9620000,1480,Kokapet,3,Hyderabad
25270,4800000,1225,Nizampet,2,Hyderabad
25271,11200000,2026,Tellapur,3,Hyderabad
25272,7900000,1525,Bandlaguda Jagir,3,Hyderabad
25273,5692000,1265,LB Nagar,2,Hyderabad
25275,8900000,1360,Kukatpally,2,Hyderabad
25276,8600000,1560,LB Nagar,3,Hyderabad
25277,11399999,2026,Tellapur,3,Hyderabad
25279,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25280,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25282,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25283,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25285,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25286,11200000,2026,Tellapur,3,Hyderabad
25287,9000000,1366,Kukatpally,2,Hyderabad
25288,4300000,1146,Nizampet,2,Hyderabad
25289,9400000,1441,Kukatpally,2,Hyderabad
25290,8900000,1360,Kukatpally,2,Hyderabad
25293,11200000,2026,Tellapur,3,Hyderabad
25294,11299999,2026,TellapurOsman Nagar Road,3,Hyderabad
25295,10500000,1880,Tellapur,3,Hyderabad
25296,11200000,2026,TellapurOsman Nagar Road,3,Hyderabad
25299,8383000,1950,Attapur,3,Hyderabad
25300,8387000,1951,Attapur,3,Hyderabad
25301,8387000,1951,Attapur,3,Hyderabad
25302,9400000,1441,Kukatpally,2,Hyderabad
25303,10500000,1700,Narsingi,3,Hyderabad
25304,10500000,1700,Narsingi,3,Hyderabad
25305,10500000,1700,Narsingi,3,Hyderabad
25306,10500000,1700,Narsingi,3,Hyderabad
25307,8400000,1279,Kukatpally,2,Hyderabad
25311,8800000,1260,Gachibowli,3,Hyderabad
25312,6900000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25314,10500000,1700,Narsingi,3,Hyderabad
25316,8400000,1274,Kukatpally,2,Hyderabad
25317,8400000,1274,Kukatpally,2,Hyderabad
25321,4800000,1200,Nizampet,2,Hyderabad
25323,4800000,1200,Nizampet,2,Hyderabad
25324,4158000,1155,Bachupally Road,2,Hyderabad
25325,4239000,1175,Bachupally Road,2,Hyderabad
25328,11299999,2026,TellapurOsman Nagar Road,3,Hyderabad
25329,10500000,1880,TellapurOsman Nagar Road,3,Hyderabad
25330,10200000,1880,Tellapur,3,Hyderabad
25332,4158000,1155,Bachupally Road,2,Hyderabad
25333,4158000,1155,Bachupally Road,2,Hyderabad
25337,8150000,1650,Serilingampally,3,Hyderabad
25338,8200000,1650,Serilingampally,3,Hyderabad
25339,8200000,1650,Serilingampally,3,Hyderabad
25340,8200000,1650,Serilingampally,3,Hyderabad
25341,8200000,1650,Serilingampally,3,Hyderabad
25342,8200000,1650,Serilingampally,3,Hyderabad
25343,8200000,1650,Serilingampally,3,Hyderabad
25345,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25346,8150000,1650,Serilingampally,3,Hyderabad
25347,8150000,1650,Serilingampally,3,Hyderabad
25348,8200000,1650,Serilingampally,3,Hyderabad
25349,8200000,1650,Serilingampally,3,Hyderabad
25350,8200000,1650,Serilingampally,3,Hyderabad
25351,8200000,1650,Serilingampally,3,Hyderabad
25352,8200000,1650,Serilingampally,3,Hyderabad
25355,4158000,1155,Bachupally Road,2,Hyderabad
25356,8150000,1650,Serilingampally,3,Hyderabad
25357,8150000,1650,Serilingampally,3,Hyderabad
25358,8200000,1650,Serilingampally,3,Hyderabad
25359,4239000,1175,Bachupally Road,2,Hyderabad
25360,8200000,1650,Serilingampally,3,Hyderabad
25361,4239000,1175,Bachupally Road,2,Hyderabad
25362,7000000,1370,Kondapur,2,Hyderabad
25363,8000000,1216,Kukatpally,2,Hyderabad
25364,9000000,1366,Kukatpally,2,Hyderabad
25365,8000000,1216,Kukatpally,2,Hyderabad
25366,4158000,1155,Bachupally Road,2,Hyderabad
25367,11299999,2026,Tellapur,3,Hyderabad
25369,8383000,1950,Attapur,3,Hyderabad
25371,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25372,6323000,1471,Attapur,2,Hyderabad
25373,6319000,1470,Attapur,2,Hyderabad
25374,6319000,1470,Attapur,2,Hyderabad
25375,8404000,1955,Attapur,3,Hyderabad
25376,4500000,1000,Nizampet,2,Hyderabad
25379,8400000,1274,Kukatpally,2,Hyderabad
25380,40000000,2865,Madhapur,4,Hyderabad
25381,7317000,1090,Kukatpally,2,Hyderabad
25382,11200000,2026,Tellapur,3,Hyderabad
25383,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25385,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25386,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25387,10500000,1880,TellapurOsman Nagar Road,3,Hyderabad
25390,4804000,1201,Nizampet,2,Hyderabad
25391,5000000,1150,Nizampet,2,Hyderabad
25392,4158000,1155,Bachupally Road,2,Hyderabad
25393,4600000,1050,Gajularamaram,2,Hyderabad
25395,11200000,2026,TellapurOsman Nagar Road,3,Hyderabad
25396,10200000,1880,TellapurOsman Nagar Road,3,Hyderabad
25397,4158000,1155,Bachupally Road,2,Hyderabad
25398,21000000,2380,Hitech City,3,Hyderabad
25400,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25402,8400000,1279,Kukatpally,2,Hyderabad
25403,8400000,1274,Kukatpally,2,Hyderabad
25404,4158000,1155,Bachupally Road,2,Hyderabad
25405,8000000,1650,Serilingampally,3,Hyderabad
25406,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25407,8000000,1650,Serilingampally,3,Hyderabad
25408,9447000,1687,Tellapur,3,Hyderabad
25410,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25411,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25412,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25413,9500000,1441,Kukatpally,2,Hyderabad
25415,13700000,2150,Tellapur,3,Hyderabad
25416,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25417,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25419,6000000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25420,4158000,1155,Bachupally Road,2,Hyderabad
25421,2300000,600,other,1,Hyderabad
25422,8150000,1650,Serilingampally,3,Hyderabad
25423,16000000,1880,Kondapur,3,Hyderabad
25424,8900000,1360,Kukatpally,2,Hyderabad
25425,8000000,1216,Kukatpally,2,Hyderabad
25426,8766000,1538,Tellapur,3,Hyderabad
25427,10700000,1920,Miyapur,3,Hyderabad
25428,8573000,1190,Miyapur,2,Hyderabad
25429,18400000,2925,Serilingampally,4,Hyderabad
25430,8150000,1650,Serilingampally,3,Hyderabad
25432,11200000,1695,Kukatpally,3,Hyderabad
25436,3510000,1003,Miyapur,2,Hyderabad
25439,21000000,5000,Manikonda,6,Hyderabad
25443,6000000,1515,Pragathi Nagar Kukatpally,2,Hyderabad
25445,4158000,1155,Bachupally Road,2,Hyderabad
25446,4000000,900,West Marredpally,2,Hyderabad
25447,35000000,3300,Banjara Hills,4,Hyderabad
25448,8000000,1538,Tellapur,3,Hyderabad
25449,6800000,1195,Kondapur,2,Hyderabad
25450,4179999,1100,Pragathi Nagar Kukatpally,2,Hyderabad
25451,8200000,1650,Serilingampally,3,Hyderabad
25452,8200000,1650,Serilingampally,3,Hyderabad
25453,4856000,1214,Miyapur,2,Hyderabad
25454,4230000,1175,Bachupally Road,2,Hyderabad
25455,4158000,1155,Bachupally Road,2,Hyderabad
25456,4236000,1175,Bachupally Road,2,Hyderabad
25457,4236000,1175,Bachupally Road,2,Hyderabad
25458,4236000,1175,Bachupally Road,2,Hyderabad
25465,4700000,1130,LB Nagar,2,Hyderabad
25467,30000000,3000,Jubilee Hills,3,Hyderabad
25468,8100000,1650,Serilingampally,3,Hyderabad
25469,29000000,3498,Hitech City,4,Hyderabad
25471,4680000,1200,Bachupally,2,Hyderabad
25472,4230000,1175,Bachupally Road,2,Hyderabad
25473,8800000,1620,Gajulramaram Kukatpally,3,Hyderabad
25474,4200000,1100,Pragathi Nagar Kukatpally,2,Hyderabad
25475,5061000,1205,Miyapur,2,Hyderabad
25476,4600000,1180,Nizampet,2,Hyderabad
25477,10900000,1591,Kukatpally,3,Hyderabad
25478,11000000,1441,Banjara Hills,2,Hyderabad
25479,3148000,1050,Gachibowli,2,Hyderabad
25481,4748000,1250,Gachibowli,2,Hyderabad
25482,4230000,1175,Bachupally Road,2,Hyderabad
25484,4680000,1200,Bachupally,2,Hyderabad
25488,12400000,1500,Sanath Nagar,3,Hyderabad
25489,4230000,1175,Bachupally Road,2,Hyderabad
25491,8000000,1412,Tellapur,3,Hyderabad
25493,10000000,1500,Appa Junction Peerancheru,3,Hyderabad
25495,2310000,550,other,1,Hyderabad
25496,7554000,1220,Kondapur,2,Hyderabad
25497,4542000,1010,Gajularamaram,2,Hyderabad
25498,7098999,1090,Kukatpally,2,Hyderabad
25499,6931000,1555,Gajularamaram,3,Hyderabad
25501,11100000,1730,Kukatpally,3,Hyderabad
25502,4158000,1155,Bachupally Road,2,Hyderabad
25503,8150000,1650,Serilingampally,3,Hyderabad
25505,2500000,600,other,1,Hyderabad
25507,19300000,2800,Gachibowli,3,Hyderabad
25508,16500000,2405,Gachibowli,3,Hyderabad
25509,2500000,1000,Krishna Reddy Pet,2,Hyderabad
25515,8150000,1650,Serilingampally,3,Hyderabad
25516,42900000,3350,Banjara Hills,4,Hyderabad
25520,2200000,550,other,1,Hyderabad
25525,9100000,1792,Tellapur,3,Hyderabad
25526,29000000,3498,Hitech City,4,Hyderabad
25527,4389000,1155,Bachupally Road,2,Hyderabad
25529,9974000,1480,Kokapet,3,Hyderabad
25530,20000000,2250,Ashok Nagar,3,Hyderabad
25531,3000000,700,Sanath Nagar,2,Hyderabad
25532,4158000,1155,Bachupally Road,2,Hyderabad
25533,4158000,1155,Bachupally Road,2,Hyderabad
25534,4239000,1175,Bachupally Road,2,Hyderabad
25536,4950000,1100,Manikonda,2,Hyderabad
25537,21000000,2380,Kondapur,3,Hyderabad
25539,2116000,1008,Beeramguda,2,Hyderabad
25540,4800000,1225,Nizampet,2,Hyderabad
25543,7000000,1170,Madinaguda,2,Hyderabad
25545,8400000,1216,Kukatpally,2,Hyderabad
25546,40700000,4799,Gachibowli,4,Hyderabad
25547,14900000,1780,Sanath Nagar,3,Hyderabad
25548,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25549,45000000,4152,Gachibowli,5,Hyderabad
25551,4389000,1155,Bachupally Road,2,Hyderabad
25552,8300000,1597,Tellapur,3,Hyderabad
25554,15000000,1000,Hitech City,1,Hyderabad
25556,37000000,3025,Banjara Hills,4,Hyderabad
25557,27000000,2166,Banjara Hills,3,Hyderabad
25558,9200000,1620,Gajularamaram,3,Hyderabad
25560,9351000,1620,Gajulramaram Kukatpally,3,Hyderabad
25561,9200000,1620,Gajulramaram Kukatpally,3,Hyderabad
25562,7028000,1170,Madinaguda,2,Hyderabad
25563,12000000,1680,Kokapet,3,Hyderabad
25567,9500000,1620,Gajularamaram,3,Hyderabad
25568,9500000,1620,Gajularamaram,3,Hyderabad
25569,9500000,1620,Gajularamaram,3,Hyderabad
25570,9500000,1620,Gajularamaram,3,Hyderabad
25573,6220000,1555,Alwal,3,Hyderabad
25574,4230000,1175,Bachupally Road,2,Hyderabad
25576,9400000,1360,Kukatpally,2,Hyderabad
25577,4000000,1400,Nallakunta,3,Hyderabad
25578,4300000,1090,Nizampet,2,Hyderabad
25579,5967000,1170,Madinaguda,2,Hyderabad
25580,8900000,1441,Kukatpally,2,Hyderabad
25583,7800000,1271,Kokapet,2,Hyderabad
25585,12000000,1740,Kukatpally,3,Hyderabad
25586,4158000,1155,Bachupally Road,2,Hyderabad
25587,4158000,1155,Bachupally Road,2,Hyderabad
25588,4500000,1175,Bachupally Road,2,Hyderabad
25589,4500000,1175,Bachupally Road,2,Hyderabad
25590,4389000,1155,Bachupally Road,2,Hyderabad
25592,10500000,1320,Kondapur,2,Hyderabad
25593,21000000,3380,Kokapet,4,Hyderabad
25594,10000000,1482,Appa Junction Peerancheru,2,Hyderabad
25595,45000000,4395,Nanakramguda,4,Hyderabad
25596,12000000,1860,Nallagandla Gachibowli,3,Hyderabad
25598,6800000,1170,Madinaguda,2,Hyderabad
25599,40000000,2865,Madhapur,4,Hyderabad
25600,45000000,4152,Gachibowli,5,Hyderabad
25601,8522000,1270,Kokapet,2,Hyderabad
25602,11200000,1735,Kokapet,3,Hyderabad
25604,11000000,1216,Kukatpally,2,Hyderabad
25606,10500000,1665,Balanagar,3,Hyderabad
25607,8259999,1620,Gajulramaram Kukatpally,3,Hyderabad
25609,5700000,1100,Kukatpally,2,Hyderabad
25611,11299999,1490,Kondapur,3,Hyderabad
25614,4500000,1000,Nallakunta,2,Hyderabad
25615,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25616,7000000,1170,Madinaguda,2,Hyderabad
25617,35200000,4146,Gachibowli,5,Hyderabad
25618,35200000,4146,Gachibowli,5,Hyderabad
25619,35200000,4146,Gachibowli,5,Hyderabad
25620,35200000,4146,Gachibowli,5,Hyderabad
25624,2310000,550,other,1,Hyderabad
25625,27000000,2595,Madhapur,4,Hyderabad
25626,15000000,1875,Shaikpet,3,Hyderabad
25627,7519000,1460,Narsingi,3,Hyderabad
25628,11200000,1680,Kokapet,3,Hyderabad
25629,4389000,1155,Bachupally Road,2,Hyderabad
25630,4500000,1175,Bachupally Road,2,Hyderabad
25631,8200000,1650,Serilingampally,3,Hyderabad
25636,8811000,1511,Nallagandla Gachibowli,2,Hyderabad
25638,8624000,1670,Narsingi,3,Hyderabad
25639,4158000,1155,Bachupally Road,2,Hyderabad
25640,4389000,1155,Bachupally Road,2,Hyderabad
25641,4500000,1175,Bachupally Road,2,Hyderabad
25642,13300000,1931,Kukatpally,3,Hyderabad
25643,11500000,1782,Kukatpally,3,Hyderabad
25644,9400000,1441,Kukatpally,2,Hyderabad
25645,9400000,1441,Kukatpally,2,Hyderabad
25648,12000000,1740,Kukatpally,3,Hyderabad
25649,9382000,1360,Kukatpally,2,Hyderabad
25650,4500000,1110,Pragathi Nagar Kukatpally,2,Hyderabad
25653,5647000,1255,Nagole,2,Hyderabad
25654,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25655,6800000,1515,Pragathi Nagar Kukatpally,3,Hyderabad
25656,14000000,1505,Kondapur,3,Hyderabad
25657,8150000,1650,Serilingampally,3,Hyderabad
25658,7098999,1090,Kukatpally,2,Hyderabad
25659,10900000,1695,Kukatpally,3,Hyderabad
25660,8095000,1315,Kondapur,2,Hyderabad
25662,5256000,1180,Gajularamaram,2,Hyderabad
25663,6931000,1555,Gajularamaram,3,Hyderabad
25664,13500000,1728,Gachibowli,3,Hyderabad
25666,6000000,1100,Manikonda,2,Hyderabad
25667,11500000,1782,Kukatpally,3,Hyderabad
25668,11500000,1782,Kukatpally,3,Hyderabad
25669,11000000,1735,Kukatpally,3,Hyderabad
25671,4085000,1075,Kompally,2,Hyderabad
25672,4427000,1265,Kompally,2,Hyderabad
25673,15400000,1782,Kukatpally,3,Hyderabad
25674,45000000,2700,other,3,Hyderabad
25676,8823000,1279,Kukatpally,2,Hyderabad
25677,8389000,1216,Kukatpally,2,Hyderabad
25678,9941000,1441,Kukatpally,2,Hyderabad
25679,6180000,1200,Narsingi,2,Hyderabad
25680,4340000,1150,Bachupally,2,Hyderabad
25682,5050000,1100,Kompally,2,Hyderabad
25684,13000000,1780,Serilingampally,3,Hyderabad
25685,18500000,2460,Manikonda,3,Hyderabad
25686,17500000,2540,Kokapet,3,Hyderabad
25687,6102000,1130,Nanakramguda,2,Hyderabad
25689,7533000,1395,Nanakramguda,2,Hyderabad
25690,6884999,1275,Nanakramguda,2,Hyderabad
25692,17000000,2630,Kokapet,4,Hyderabad
25693,17000000,2630,Kokapet,4,Hyderabad
25694,61000000,4700,Jubilee Hills,4,Hyderabad
25695,55800000,4300,Jubilee Hills,4,Hyderabad
25696,8000000,1700,Tellapur,3,Hyderabad
25697,18400000,2630,Kokapet,4,Hyderabad
25698,4500000,1230,Bachupally,2,Hyderabad
25700,3500000,1150,Bachupally Road,2,Hyderabad
25701,4000000,1195,Nallakunta,3,Hyderabad
25703,5900000,1122,Tarnaka,2,Hyderabad
25704,9400000,1441,Kukatpally,2,Hyderabad
25705,13300000,1710,Kondapur,3,Hyderabad
25708,32000000,3190,Madhapur,4,Hyderabad
25709,4236000,1175,Bachupally Road,2,Hyderabad
25710,4236000,1175,Bachupally Road,2,Hyderabad
